year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,bedrooms**2,bedrooms**3,n_photos**3,located_on**3,living_area**2,total_rooms**3,sqrt(other_area),sqrt(located_on),monthly_contrib**2,sqrt(other_indoor_space),other_indoor_space**3,other_area**2,total_area**3,id,price_category,zipcode,type_of_construction,energy_label
1930.0,5.0,4.0,0.0,130.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,64.0,2744.0,0.0,16900.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,200K-300K,3043,Bestaande bouw,E
1956.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,< 100K,3081,Bestaande bouw,G
0.0,4.0,3.0,6.0,182.0,34.0,0.0,391.0,37.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,27.0,50653.0,216.0,33124.0,64.0,5.830951894845301,2.449489742783178,152881.0,0.0,0.0,1156.0,0.0,3,> 300K,3016,Bestaande bouw,B
1965.0,3.0,2.0,0.0,85.0,0.0,0.0,125.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,4096.0,1.0,7225.0,27.0,0.0,1.0,15625.0,0.0,0.0,0.0,0.0,4,100K-150K,3076,Bestaande bouw,F
1996.0,3.0,2.0,0.0,100.0,0.0,0.0,141.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,6859.0,1000.0,10000.0,27.0,0.0,3.1622776601683795,19881.0,0.0,0.0,0.0,0.0,5,200K-300K,3071,Bestaande bouw,C
1941.0,2.0,1.0,0.0,58.0,0.0,0.0,164.0,14.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2744.0,64.0,3364.0,8.0,0.0,2.0,26896.0,0.0,0.0,0.0,0.0,6,150K-200K,3031,Bestaande bouw,G
1954.0,4.0,3.0,24.0,70.0,3.0,0.0,51.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,2744.0,27.0,4900.0,64.0,1.7320508075688772,1.7320508075688772,2601.0,0.0,0.0,9.0,0.0,8,< 100K,3083,Bestaande bouw,E
1981.0,0.0,0.0,16.0,56.0,6.0,0.0,121.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,729.0,0.0,3136.0,0.0,2.449489742783178,0.0,14641.0,0.0,0.0,36.0,0.0,9,100K-150K,3068,Bestaande bouw,D
2005.0,5.0,4.0,0.0,215.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,64.0,29791.0,0.0,46225.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,> 300K,3054,Bestaande bouw,A
1981.0,3.0,2.0,0.0,67.0,0.0,0.0,125.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,6859.0,1.0,4489.0,27.0,0.0,1.0,15625.0,0.0,0.0,0.0,0.0,12,150K-200K,3011,Bestaande bouw,B
