year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,living_area**2,living_area*n_photos,living_area*own_ground,sqrt(living_area)*year**3,living_area**3*monthly_contrib,flg_missing_total_area*living_area,flg_missing_n_weeks_old*living_area**2,flg_missing_monthly_contrib*living_area,flg_missing_type_of_construction*own_ground,flg_missing_own_ground*flg_missing_total_rooms,flg_missing_type_of_construction*sqrt(n_photos),flg_missing_monthly_contrib*flg_missing_other_area,living_area*total_rooms,sqrt(located_on)*own_ground,flg_missing_located_on*living_area,flg_missing_n_photos_360*living_area,flg_missing_other_indoor_space*living_area**2,flg_missing_monthly_contrib*flg_missing_n_photos,flg_missing_own_ground*living_area**2,flg_missing_other_indoor_space*living_area,flg_missing_other_area*located_on,flg_missing_n_weeks_old*living_area,flg_missing_other_area*living_area**2,flg_missing_living_area*year**3,flg_missing_own_ground*n_photos,flg_missing_other_area*living_area,flg_missing_n_photos*living_area**3,flg_missing_n_photos_360*flg_missing_other_indoor_space,id,price_category,zipcode,type_of_construction,energy_label
1930.0,5.0,4.0,0.0,130.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,16900.0,1820.0,130.0,81967861210.36934,0.0,130.0,16900.0,130.0,0.0,0.0,0.0,1.0,650.0,0.0,130.0,130.0,16900.0,0.0,0.0,130.0,0.0,130.0,16900.0,0.0,0.0,130.0,0.0,1.0,1,200K-300K,3043,Bestaande bouw,E
1956.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7483530816.0,0.0,0.0,0.0,1.0,2,< 100K,3081,Bestaande bouw,G
0.0,4.0,3.0,6.0,182.0,34.0,0.0,391.0,37.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33124.0,6734.0,0.0,0.0,2357170088.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,0.0,0.0,0.0,33124.0,0.0,33124.0,182.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,3,> 300K,3016,Bestaande bouw,B
1965.0,3.0,2.0,0.0,85.0,0.0,0.0,125.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7225.0,1360.0,85.0,69951515350.07259,76765625.0,85.0,7225.0,0.0,0.0,0.0,0.0,0.0,255.0,1.0,0.0,85.0,7225.0,0.0,0.0,85.0,1.0,85.0,7225.0,0.0,0.0,85.0,0.0,1.0,4,100K-150K,3076,Bestaande bouw,F
1996.0,3.0,2.0,0.0,100.0,0.0,0.0,141.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10000.0,1900.0,0.0,79520959360.0,141000000.0,100.0,10000.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,100.0,10000.0,0.0,0.0,100.0,10.0,100.0,10000.0,0.0,0.0,100.0,0.0,1.0,5,200K-300K,3071,Bestaande bouw,C
1941.0,2.0,1.0,0.0,58.0,0.0,0.0,164.0,14.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3364.0,812.0,58.0,55691716405.18398,31998368.0,58.0,3364.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,0.0,58.0,3364.0,0.0,0.0,58.0,4.0,58.0,3364.0,0.0,0.0,58.0,0.0,1.0,6,150K-200K,3031,Bestaande bouw,G
1954.0,4.0,3.0,24.0,70.0,3.0,0.0,51.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4900.0,980.0,70.0,62419846761.82329,17493000.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,1.7320508075688772,0.0,70.0,4900.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,< 100K,3083,Bestaande bouw,E
1981.0,0.0,0.0,16.0,56.0,6.0,0.0,121.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3136.0,504.0,0.0,58176479951.757614,21249536.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3136.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,100K-150K,3068,Bestaande bouw,D
2005.0,5.0,4.0,0.0,215.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,46225.0,6665.0,215.0,118185000351.44293,0.0,215.0,46225.0,215.0,0.0,0.0,0.0,1.0,1075.0,0.0,215.0,215.0,46225.0,0.0,0.0,215.0,0.0,215.0,46225.0,0.0,0.0,215.0,0.0,1.0,10,> 300K,3054,Bestaande bouw,A
1981.0,3.0,2.0,0.0,67.0,0.0,0.0,125.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4489.0,1273.0,67.0,63634235073.761894,37595375.0,67.0,4489.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,0.0,67.0,4489.0,0.0,0.0,67.0,1.0,67.0,4489.0,0.0,0.0,67.0,0.0,1.0,12,150K-200K,3011,Bestaande bouw,B
1934.0,3.0,1.0,6.0,80.0,3.0,6.0,123.0,25.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,2000.0,80.0,64701507975.51664,62976000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,150K-200K,3038,Bestaande bouw,n
1923.0,2.0,1.0,0.0,57.0,0.0,0.0,126.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3249.0,1425.0,0.0,53687759525.61191,23334318.0,57.0,3249.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,57.0,3249.0,0.0,0.0,57.0,1.0,57.0,3249.0,0.0,0.0,57.0,0.0,1.0,15,100K-150K,3051,Bestaande bouw,D
1985.0,3.0,2.0,8.0,78.0,5.0,0.0,167.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6084.0,1560.0,78.0,69076263044.66039,79250184.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,0.0,78.0,6084.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,100K-150K,3077,Bestaande bouw,C
1964.0,3.0,2.0,0.0,80.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6400.0,1680.0,80.0,67759383169.295555,0.0,80.0,6400.0,80.0,0.0,0.0,0.0,1.0,240.0,0.0,80.0,80.0,6400.0,0.0,0.0,80.0,0.0,80.0,6400.0,0.0,0.0,80.0,0.0,1.0,18,150K-200K,3079,Bestaande bouw,E
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,200K-300K,3072,0,n
2016.0,3.0,2.0,0.0,120.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14400.0,1680.0,0.0,89755734728.04489,0.0,120.0,14400.0,120.0,0.0,0.0,0.0,1.0,360.0,0.0,0.0,120.0,14400.0,0.0,14400.0,120.0,1.0,120.0,14400.0,0.0,14.0,120.0,0.0,1.0,20,> 300K,3061,Nieuwbouw,A
1930.0,3.0,2.0,0.0,105.0,0.0,0.0,75.0,28.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11025.0,2940.0,105.0,73665913132.67722,86821875.0,105.0,11025.0,0.0,0.0,0.0,0.0,0.0,315.0,1.7320508075688772,0.0,105.0,11025.0,0.0,0.0,105.0,3.0,105.0,11025.0,0.0,0.0,105.0,0.0,1.0,21,100K-150K,3074,Bestaande bouw,G
0.0,4.0,3.0,4.0,110.0,15.0,0.0,100.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12100.0,2640.0,0.0,0.0,133100000.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,110.0,12100.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22,200K-300K,3081,Bestaande bouw,A
1909.0,5.0,4.0,0.0,150.0,0.0,0.0,79.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22500.0,3900.0,150.0,85204673130.3558,266625000.0,150.0,22500.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,150.0,22500.0,0.0,0.0,150.0,0.0,150.0,22500.0,0.0,0.0,150.0,0.0,1.0,23,> 300K,3021,Bestaande bouw,G
